id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
35748195,2019/11/07 9:29 AM WET,2019-11-07,2019-11-07 09:29:00 UTC,Lisbon,,291972,axeira,2019-11-16 19:49:36 UTC,2019-11-16 19:54:47 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/35748195,https://static.inaturalist.org/photos/56405531/medium.jpg?1573933510,,iNaturalist,,false,1,0,false,,"7480 Ervedal, Portugal",39.0510655185,-7.8225980064,431,,,false,,,Shrews,Soricidae,Shrews,Mammalia,46341
36297413,2019/04/14 10:26 AM BST,2019-04-14,2019-04-14 09:26:00 UTC,Edinburgh,,2460994,avesdabatalha,2019-12-02 20:31:53 UTC,2019-12-02 20:31:53 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/36297413,https://static.inaturalist.org/photos/57360448/medium.jpg?1575318652,,"",,false,0,0,false,,"2440 Batalha, Portugal",39.6744856395,-8.8619684534,2,,,false,,,Soricinae,Soricinae,Red-toothed Shrews,Mammalia,542443
36320004,2017/07/08 9:55 PM BST,2017-07-08,2017-07-08 20:55:00 UTC,Edinburgh,false,2467987,miguel_rod_ferreira,2019-12-03 16:05:21 UTC,2019-12-03 16:07:19 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/36320004,https://static.inaturalist.org/photos/57399523/medium.jpeg?1575388894,,"",,false,0,0,false,,"2710 Sintra, Portugal",38.783,-9.417,,,open,false,,,Musaranho-de-Dentes-Brancos,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
36864001,2010-02-23 2:56:31 PM GMT,2010-02-23,2010-02-23 14:56:31 UTC,UTC,,1536339,pedrofreitas2590,2019-12-22 21:16:37 UTC,2020-01-20 12:35:40 UTC,needs_id,,https://www.inaturalist.org/observations/36864001,https://static.inaturalist.org/photos/58343426/medium.jpeg?1577049402,,"",,false,0,0,false,2,"Mindelo, 4485 Mindelo, Portugal",41.3210955893,-8.7350545451,179,,,false,gps,gps,Red-toothed Shrews,Soricinae,Red-toothed Shrews,Mammalia,542443
36955556,2019/10/22 6:26 PM BST,2019-10-22,2019-10-22 17:26:00 UTC,Edinburgh,,2156163,miguelberkemeier,2019-12-26 02:39:53 UTC,2019-12-26 02:39:53 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/36955556,https://static.inaturalist.org/photos/58503358/medium.jpeg?1577327816,,"","",false,0,0,false,,"Almada, Portugal",38.6765238,-9.1651047,8711,,,false,,,Musaranhos,Soricidae,Shrews,Mammalia,46341
37776380,2020-01-19 9:23:34 PM GMT+00:00,2020-01-19,2020-01-19 21:23:34 UTC,Edinburgh,,2235131,hugobarbosa,2020-01-20 09:06:06 UTC,2020-01-20 09:06:30 UTC,needs_id,,https://www.inaturalist.org/observations/37776380,https://static.inaturalist.org/photos/59955655/medium.jpeg?1579511174,,"",,false,0,0,false,2,"3670-259 Vouzela, Portugal",40.7234687805,-8.1091108322,,,,false,gps,gps,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
37779408,2020/01/20 8:18 AM GMT,2020-01-20,2020-01-20 08:18:00 UTC,Edinburgh,false,1997051,simaomateus,2020-01-20 13:38:17 UTC,2020-01-20 13:38:43 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/37779408,https://static.inaturalist.org/photos/59961420/medium.jpg?1579527302,,"",,false,0,0,false,,"2530 Lourinhã, Portugal",39.2775,-9.2911111111,,,open,false,,,Crocidura russula,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
39214999,2020-02-25 11:49:47 AM GMT+00:00,2020-02-25,2020-02-25 11:49:47 UTC,Edinburgh,,156624,davideleoberton,2020-02-25 19:17:53 UTC,2020-02-26 07:26:03 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/39214999,https://static.inaturalist.org/photos/62184900/medium.jpeg?1582658278,,"",,false,0,0,false,2,"2755 Alcabideche, Portogallo",38.7669847212,-9.4652628154,429,,,false,gps,gps,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
39288603,2020/02/21 10:44 AM HST,2020-02-21,2020-02-21 20:44:00 UTC,Hawaii,false,1651396,raquel81,2020-02-27 19:51:52 UTC,2020-04-10 19:40:36 UTC,research,,https://www.inaturalist.org/observations/39288603,https://static.inaturalist.org/photos/62314416/medium.jpeg?1582833084,,"","",false,1,0,false,,"4500 Espinho, Portugal",40.9686095613,-8.6471622799,874,,open,false,,,Greater White-toothed Shrew,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
39888446,2016/03/27 2:45 PM WEST,2016-03-27,2016-03-27 13:45:00 UTC,Lisbon,,2623431,tiagojrc,2020-03-12 16:40:08 UTC,2020-03-20 12:51:49 UTC,needs_id,,https://www.inaturalist.org/observations/39888446,https://static.inaturalist.org/photos/63329827/medium.jpeg?1584031173,,shrews,"",false,0,0,false,,"3320 Pampilhosa da Serra, Portugal",40.0463704,-7.9497155,10545,,,false,,,Shrews,Soricidae,Shrews,Mammalia,46341
39989434,2020/03/05 11:29 AM GMT,2020-03-05,2020-03-05 11:29:00 UTC,Edinburgh,false,1896377,hecosta,2020-03-14 21:15:50 UTC,2020-03-14 21:16:42 UTC,needs_id,,https://www.inaturalist.org/observations/39989434,https://static.inaturalist.org/photos/63502532/medium.jpg?1584220496,,"","",false,0,0,false,,"Barroca d'Alva, Alcochete, Portugal",38.7313266775,-8.8981211929,3,,open,false,,,Crocidura russula,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
40142141,2020/03/16 12:57 PM GMT,2020-03-16,2020-03-16 12:57:00 UTC,Edinburgh,false,1997051,simaomateus,2020-03-17 19:42:17 UTC,2020-03-17 19:42:46 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/40142141,https://static.inaturalist.org/photos/63761221/medium.jpeg?1584474020,,"",,false,0,0,false,,"Dino Parque Lourinhã, Portugal",39.2793572754,-9.2918369613,8,,open,false,,,Crocidura russula,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
40230372,2020-03-19 10:24:21 AM GMT+00:00,2020-03-19,2020-03-19 10:24:21 UTC,Lisbon,,898963,omateus,2020-03-19 13:07:30 UTC,2020-03-27 21:16:56 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/40230372,https://static.inaturalist.org/photos/63999627/medium.jpeg?1584706385,,"",,false,0,0,false,2,"São Pedro, 2510 Óbidos, Portugal",39.3772222222,-9.14,,,,false,gps,gps,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
40657566,2020-03-24,2020-03-24,,Lisbon,,1306338,micss,2020-03-24 20:48:52 UTC,2020-03-31 10:25:25 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/40657566,https://static.inaturalist.org/photos/64447229/medium.jpeg?1585082939,,"",,false,0,0,false,333,Rio Tinto,41.1727303,-8.560218,,,,false,,,,Crocidurinae,White-toothed Shrews,Mammalia,496911
40750097,2020-03-26 12:14:03 PM GMT+00:00,2020-03-26,2020-03-26 12:14:03 UTC,Edinburgh,false,2569885,ricardofbs,2020-03-26 12:36:18 UTC,2020-03-28 19:52:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40750097,https://static.inaturalist.org/photos/64597066/medium.jpeg?1585226182,,"",,false,1,0,false,2,"2580-062 Abrigada, Portugal",39.1412467778,-9.0428933889,,,open,false,gps,gps,Greater White-toothed Shrew,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
41077118,2020/02/21 10:39 AM WET,2020-02-21,2020-02-21 10:39:00 UTC,Lisbon,false,281244,draposo79,2020-03-30 23:29:41 UTC,2020-04-07 12:05:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41077118,https://static.inaturalist.org/photos/65124626/medium.jpeg?1585607916,,"",,false,1,0,false,,"3885 Esmoriz, Portugal",40.96341,-8.6468366667,,,open,false,,,Greater White-toothed Shrew,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
41196422,2020-04-01 3:48:13 PM GMT+01:00,2020-04-01,2020-04-01 13:48:13 UTC,Amsterdam,false,1698559,p_alves,2020-04-01 22:51:06 UTC,2020-04-03 21:08:35 UTC,needs_id,,https://www.inaturalist.org/observations/41196422,https://static.inaturalist.org/photos/65330559/medium.jpeg?1585781477,,"",,false,0,0,false,2,Souto Velho,41.6668888175,-7.5850755349,2104,,open,false,gps,gps,null,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
41931711,2020-04-10 8:05:19 PM GMT+01:00,2020-04-10,2020-04-10 18:05:19 UTC,Amsterdam,,2447917,samuel323,2020-04-11 19:34:01 UTC,2020-04-11 19:34:13 UTC,needs_id,,https://www.inaturalist.org/observations/41931711,https://static.inaturalist.org/photos/66542416/medium.jpeg?1586633650,,"",,false,0,0,false,2,"Batalha, 2440 Batalha, Portugal",39.6607056708,-8.8009413332,6,,,false,gps,gps,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
