id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
23017179,2018/07/02 4:55 PM BST,2018-07-02,2018-07-02 15:55:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:55 UTC,2019-04-29 13:54:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017179,https://static.inaturalist.org/photos/35680004/medium.jpeg?1556138803,,"",,2,0,false,,,42.0627064903,-8.1915715368,999,,obscured,true,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,European Honey-buzzard,Pernis apivorus,European Honey-buzzard,Aves,5325
23017180,2018/07/02 7:36 PM BST,2018-07-02,2018-07-02 18:36:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:56 UTC,2019-10-11 23:04:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017180,https://static.inaturalist.org/photos/35680017/medium.jpeg?1556138812,,"",,3,0,false,,,42.1572305862,-8.2793595359,999,,obscured,true,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Aigle botté,Hieraaetus pennatus,Booted Eagle,Aves,5154
23017182,2018/07/02 7:56 PM BST,2018-07-02,2018-07-02 18:56:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:57 UTC,2019-11-05 22:53:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017182,https://static.inaturalist.org/photos/35680028/medium.jpeg?1556138819,,"",,3,0,false,,"Melgaço, 4960, Portugal",42.1096891621,-8.2810919062,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Pardal común,Passer domesticus,House Sparrow,Aves,13858
23017184,2018/07/03 7:56 AM BST,2018-07-03,2018-07-03 06:56:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:58 UTC,2019-11-05 22:53:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017184,https://static.inaturalist.org/photos/35680033/medium.jpeg?1556138823,,"",,6,0,false,,"Melgaço, 4960, Portugal",42.1152501317,-8.2833928096,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Paporrubio,Erithacus rubecula,European Robin,Aves,13094
23017185,2018/07/03 8:09 AM BST,2018-07-03,2018-07-03 07:09:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:58 UTC,2019-11-05 22:53:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017185,https://static.inaturalist.org/photos/35680050/medium.jpeg?1556138837,,"",,5,0,false,,"Melgaço, 4960, Portugal",42.1202916133,-8.274780724,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Upupa epops,Upupa epops,Common Hoopoe,Aves,20969
23017188,2018/07/04 7:15 AM BST,2018-07-04,2018-07-04 06:15:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:55:01 UTC,2019-04-29 13:52:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017188,https://static.inaturalist.org/photos/35680061/medium.jpeg?1556138843,,"",,3,0,false,,,42.1630147781,-8.2514258971,999,,obscured,true,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Red-backed Shrike,Lanius collurio,Red-backed Shrike,Aves,12038
23017189,2018/07/04 9:07 AM BST,2018-07-04,2018-07-04 08:07:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:55:01 UTC,2019-11-05 22:53:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017189,https://static.inaturalist.org/photos/35680071/medium.jpeg?1556138850,,"",,3,0,false,,,42.01414391,-8.2559650288,999,,obscured,true,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Picanzo vermello,Lanius collurio,Red-backed Shrike,Aves,12038
23017190,2018/07/04 9:12 AM BST,2018-07-04,2018-07-04 08:12:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:55:01 UTC,2019-04-29 13:52:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017190,https://static.inaturalist.org/photos/35680080/medium.jpeg?1556138855,,"",,2,0,false,,,42.0571704962,-8.2404702009,999,,obscured,true,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Dartford Warbler,Sylvia undata,Dartford Warbler,Aves,15303
23017195,2018/07/04 9:14 AM BST,2018-07-04,2018-07-04 08:14:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:55:04 UTC,2019-04-24 21:18:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017195,https://static.inaturalist.org/photos/35680085/medium.jpeg?1556138861,,"",,1,0,false,,"Melgaço, 4960, Portugal",42.1131281695,-8.201899521,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Fauvette grisette,Sylvia communis,Greater Whitethroat,Aves,15281
23017944,2018/07/05 10:20 AM BST,2018-07-05,2018-07-05 09:20:00 UTC,Edinburgh,1462872,avepel,2019-04-24 21:10:26 UTC,2019-11-05 22:53:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017944,https://static.inaturalist.org/photos/35681417/medium.jpeg?1556139994,,"",,2,0,false,,"4910 Vila Praia de Âncora, Portugal",41.8283691905,-8.8750841414,999,,open,false,,,,Caminha,,Portugal,Viana do Castelo,Caminha,Corvo común,Corvus corone,Carrion Crow,Aves,204496
23017945,2018/07/05 5:25 PM BST,2018-07-05,2018-07-05 16:25:00 UTC,Edinburgh,1462872,avepel,2019-04-24 21:10:26 UTC,2019-11-05 22:53:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017945,https://static.inaturalist.org/photos/35681437/medium.jpeg?1556140010,,"",,5,0,false,,"Vila Nova de Cerveira, 4920, Portugal",41.9653364369,-8.7417654761,999,,open,false,,,,Vila Nova de Cerveira,,Portugal,Viana do Castelo,Vila Nova de Cerveira,Garza real,Ardea cinerea,Grey Heron,Aves,4954
23017946,2018/07/06 7:51 AM BST,2018-07-06,2018-07-06 06:51:00 UTC,Edinburgh,1462872,avepel,2019-04-24 21:10:27 UTC,2019-04-24 21:15:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017946,https://static.inaturalist.org/photos/35681443/medium.jpeg?1556140014,,"",,1,0,false,,"Viana do Castelo, Portugal",41.78102728,-8.8705796137,999,,open,false,,,,Viana do Castelo,,Portugal,Viana do Castelo,Viana do Castelo,Fou de bassan,Morus bassanus,Northern Gannet,Aves,3802
23017948,2018/07/06 8:28 AM BST,2018-07-06,2018-07-06 07:28:00 UTC,Edinburgh,1462872,avepel,2019-04-24 21:10:28 UTC,2019-06-05 18:07:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017948,https://static.inaturalist.org/photos/35681449/medium.jpeg?1556140018,,"",,2,0,false,,"Caminha, 4910, Portugal",41.8799777667,-8.8333588391,999,,open,false,,,,Caminha,,Portugal,Viana do Castelo,Caminha,Common Sandpiper,Actitis hypoleucos,Common Sandpiper,Aves,3978
23017949,2018/07/06 8:28 AM BST,2018-07-06,2018-07-06 07:28:00 UTC,Edinburgh,1462872,avepel,2019-04-24 21:10:28 UTC,2019-04-29 13:51:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017949,https://static.inaturalist.org/photos/35681458/medium.jpeg?1556140024,,"",,3,0,false,,"Caminha, 4910, Portugal",41.877551589,-8.8329807404,999,,open,false,,,,Caminha,,Portugal,Viana do Castelo,Caminha,White Wagtail,Motacilla alba,White Wagtail,Aves,13695
23017951,2018/07/06 8:31 AM BST,2018-07-06,2018-07-06 07:31:00 UTC,Edinburgh,1462872,avepel,2019-04-24 21:10:30 UTC,2019-04-24 21:15:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017951,https://static.inaturalist.org/photos/35681464/medium.jpeg?1556140028,,"",,1,0,false,,"Caminha, 4910, Portugal",41.8806533144,-8.8298078225,999,,open,false,,,,Caminha,,Portugal,Viana do Castelo,Caminha,Corneille noire,Corvus corone,Carrion Crow,Aves,204496
